transaction_id,transaction_date,txn_year,txn_month,txn_month_name,txn_quarter,product_id,product_name,category,region,city,state,customer_id,customer_name,customer_segment,age_group,gender,loyalty_tier,tenure_band,quantity,unit_price,discount,discount_band,net_revenue,total_revenue,status,is_returned,is_active_customer,created_at
TXN0001,2024-02-22,2024,2,Feb,1,P002,Mouse,ELECTRONICS,SOUTH,Hyderabad,Telangana,CUST032,Customer_32 Lastname_32,Regular,22-30,MALE,Silver,Loyal,1,850.0,0.19,Medium (10-20%),688.5,688.5,PENDING,False,False,2026-03-29 12:21:00.285000+00:00
TXN0002,2024-04-29,2024,4,Apr,2,P002,Mouse,ELECTRONICS,SOUTH,Chennai,Tamil Nadu,CUST004,Customer_4 Lastname_4,Premium,22-30,OTHER,Bronze,Loyal,10,850.0,0.11,Medium (10-20%),7565.0,7565.0,PENDING,False,True,2026-03-29 12:21:00.285000+00:00
TXN0003,2024-04-22,2024,4,Apr,2,P001,Laptop,PERIPHERALS,WEST,Ahmedabad,Gujarat,CUST084,Customer_84 Lastname_84,Occasional,51+,OTHER,Silver,Loyal,9,75000.0,0.0,No Discount,675000.0,641250.0,RETURNED,True,False,2026-03-29 12:21:00.285000+00:00
TXN0004,2024-06-23,2024,6,Jun,2,P005,Headphones,PERIPHERALS,WEST,Hyderabad,Telangana,CUST021,Customer_21 Lastname_21,Occasional,51+,OTHER,Gold,Loyal,1,4500.0,0.19,Medium (10-20%),3645.0,3645.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0005,2024-07-13,2024,7,Jul,3,P003,Keyboard,ELECTRONICS,NORTH,Mumbai,Maharashtra,CUST044,Customer_44 Lastname_44,Occasional,31-40,FEMALE,Silver,Loyal,4,2500.0,0.24,High (20%+),7600.0,7600.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0006,2024-10-01,2024,10,Oct,4,P006,Webcam,PERIPHERALS,WEST,Ahmedabad,Gujarat,CUST006,Customer_6 Lastname_6,Occasional,31-40,OTHER,Bronze,Loyal,6,3200.0,0.15,Medium (10-20%),16320.0,16320.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0007,2024-10-22,2024,10,Oct,4,P007,USB Hub,PERIPHERALS,EAST,Mumbai,Maharashtra,CUST081,Customer_81 Lastname_81,Regular,51+,OTHER,Silver,Loyal,2,1200.0,0.14,Medium (10-20%),2064.0,2064.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0008,2024-04-29,2024,4,Apr,2,P002,Mouse,ACCESSORIES,UNKNOWN,Kolkata,West Bengal,CUST099,Customer_99 Lastname_99,Occasional,51+,OTHER,Bronze,Loyal,1,850.0,0.17,Medium (10-20%),705.5,705.5,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0009,2024-06-30,2024,6,Jun,2,P007,USB Hub,ELECTRONICS,EAST,Bangalore,Karnataka,CUST047,Customer_47 Lastname_47,Occasional,31-40,OTHER,Bronze,Loyal,5,1200.0,0.11,Medium (10-20%),5340.0,5340.0,COMPLETED,False,False,2026-03-29 12:21:00.285000+00:00
TXN0010,2024-03-24,2024,3,Mar,1,P005,Headphones,PERIPHERALS,UNKNOWN,Hyderabad,Telangana,CUST022,Customer_22 Lastname_22,Occasional,22-30,FEMALE,Silver,Loyal,2,4500.0,0.15,Medium (10-20%),7650.0,7650.0,RETURNED,True,False,2026-03-29 12:21:00.285000+00:00
TXN0011,2024-12-16,2024,12,Dec,4,P007,USB Hub,PERIPHERALS,SOUTH,Pune,Maharashtra,CUST082,Customer_82 Lastname_82,Regular,31-40,MALE,Gold,Loyal,5,1200.0,0.25,High (20%+),4500.0,4500.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0012,2024-02-03,2024,2,Feb,1,P001,Laptop,ACCESSORIES,EAST,Kolkata,West Bengal,CUST041,Customer_41 Lastname_41,Occasional,31-40,OTHER,Silver,Loyal,4,75000.0,0.21,High (20%+),237000.0,237000.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
